citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
1988,1732,Verified email at bu.edu - ,20,19,25,24,2019,2005,Kirill Korolev,Assistant Professor of Physics and Bioinformatics at  Boston University None,"quantitative biology,evolutionary dynamics,biophysics,statistical physics",37
1990,1932,Verified email at bioinf.jku.at,17,15,21,21,2019,2010,Günter Klambauer,"Researcher, LIT AI Lab & Institute of Bioinformatics,  Johannes Kepler University None","machine learning,bioinformatics,deep learning,neural networks,drug design",64
18269,4545,Verified email at colorado.edu - ,71,34,201,100,2019,1967,Gerhard Fischer,"Professor of Computer Science,  University of Colorado, Boulder None","Human Computer Interaction,Learning Sciences,Design,Technology Enhanced Education",465
2011,1140,Verified email at sophiagenetics.com,15,14,17,17,2017,2002,Tom J. Petty,"Bioinformatics Specialist, Sophia Genetics, Switzerland bioinformatics None","bioinformatics,NGS,viral evolution,structural biology",39
2011,1826,Verified email at astrazeneca.com - ,28,25,45,40,2019,2006,"Shameer Khader, PhD","Senior Director (Health Data Science and Bioinformatics),  AstraZeneca None","Drug Discovery,Clinical Data Science,Computational Medicine,Translational Bioinformatics,Digital Health",143
2016,1742,Verified email at uw.edu - ,20,18,27,24,2019,2000,Kimberly R. Andrews,"Bioinformatic Data Scientist, University of Idaho Homepage None","Molecular Ecology & Evolution,Population Genomics",45
2022,1566,Verified email at umich.edu - ,11,10,11,10,2019,2000,Sang Young Chun,"Department of Computational Medicine and Bioinformatics,  University of Michigan None","Bioinformatics,Computational Biology,Machine Learning,Statistics,NGS",21
2028,1253,Verified email at fh-hagenberg.at,21,16,46,27,2019,2004,Stephan Winkler,", Bioinformatics, Heuristic and Evolutionary Algorithms University of Applied Sciences Upper Austria None","Genetische Programmierung,Data Mining,Machine Learning,Bioinformatik,Medizininformatik",168
2037,1854,Verified email at uslcentro.toscana.it,21,18,26,25,2019,2009,Matteo Benelli,"Head of Bioinformatics Unit, Sandro Pitigliani Medical Oncology Department, Hospital of Prato Cancer genomics None",Cancer genomics,97
2040,979,Verified email at northwestern.edu - ,15,11,15,11,2017,1989,Pamela L Shaw,"Biosciences & Bioinformatics Librarian, Galter Health Sciences Library, Feinberg School of Medicine,  Northwestern University None","Bioinformatics,computational biology,genomics,neuroscience",34
2050,1260,Verified email at rn.dk,26,19,50,34,2019,1983,Søren Lundbye-Christensen,"Seniorbiostatistiker, Unit of Clinical Biostatistics and Bioinformatics Anvendt klinisk biostatistik None",Anvendt klinisk biostatistik,241
18287,5048,Verified email at cs.columbia.edu,58,37,130,82,2019,1910,Steven Bellovin,"Professor of Computer Science,  Columbia University None","security,privacy",338
18357,5751,Verified email at cs.nott.ac.uk - ,72,42,225,126,2020,1988,Tom Rodden,"Professor of Computer Science,  Nottingham University None","HCI,Ubiquitous Computing,CSCW,Human Computer Interaction",475
18416,3834,Verified email at virginia.edu - ,45,23,92,49,2019,1972,Kevin Sullivan,Verified email at virginia.edu -  University of Virginia Computer Science None,"Software Engineering,Systems Engineering,Security,Healthcare",247
18433,10811,Verified email at manchester.ac.uk,31,28,64,37,2018,1974,Ernie Hill,"School of Computer Science, The  University of Manchester None","Thin Film Materials,Graphene,Computer Engineering",166
18432,4607,Verified email at cs.cornell.edu - ,53,27,128,61,2019,1971,Dexter Kozen,"Professor of Computer Science,  Cornell University None","program logic and semantics,algorithm design and analysis,complexity theory,automata theory",521
18445,5223,Verified email at rgrossman.com - ,53,32,145,75,2019,1980,Robert L Grossman,"Frederick H. Rawson Professor of Medicine and Computer Science, University of Chicago Homepage None","data science,data intensive computing,bioinformatics,cloud computing",396
18554,7804,Verified email at anu.edu.au - ,47,30,108,59,2019,1985,Robert C. Williamson,"Professor of Computer Science,  Australian National University ; Distinguished Researcher, DATA61","machine learning,learning theory,signal processing,statistics",244
18588,5451,Verified email at ucsc.edu - ,64,35,142,90,2019,1980,Manfred K. Warmuth,"Professor of Computer Science,  University of California at Santa Cruz None","Machine learning,Statistics,Game Theory,Optimization",297
2061,1617,Verified email at illinois.edu,17,15,21,19,2019,1999,Christopher Fields,"Bioinformatics Roustabout,  UIUC None","Bioinformatics,Genomics,Evolutionary Biology,Transcriptomics,Microbiology",51
2079,1588,Verified email at ebi.ac.uk - ,17,15,27,17,2019,2007,Simon Jupp,Verified email at ebi.ac.uk -  European Bioinformatics Institute None,"ontology,semantic web,bioinformatics",79
